Nx=6, Ny=96, Nz=96
dx=0.408248, dy=0.204124, dz=0.204124
0.035106 0.964895 17.814960 -10.079023
0.035106 0.964895 17.814960 -10.079023
0.035106 0.964895 17.814960 -10.079023
0.035106 0.964895 17.814960 -10.079023
0.035106 0.964895 17.814960 -10.079023
0.035106 0.964895 17.814960 -10.079023
0.070617 0.929392 15.205379 -10.558627
0.070617 0.929392 15.205379 -10.558627
0.070617 0.929392 15.205379 -10.558627
0.070617 0.929392 15.205379 -10.558627
0.070617 0.929392 15.205379 -10.558627
0.070617 0.929392 15.205379 -10.558627
0.158380 0.841643 8.295373 -12.204641
0.158380 0.841643 8.295373 -12.204641
0.158380 0.841643 8.295373 -12.204641
0.158380 0.841643 8.295373 -12.204641
0.158380 0.841643 8.295373 -12.204641
0.158380 0.841643 8.295373 -12.204641
0.356220 0.643799 -4.124812 -12.757777
0.356220 0.643799 -4.124812 -12.757777
0.356220 0.643799 -4.124812 -12.757777
0.356220 0.643799 -4.124812 -12.757777
0.356220 0.643799 -4.124812 -12.757777
0.356220 0.643799 -4.124812 -12.757777
0.642421 0.357563 -12.942241 -4.403565
0.642421 0.357563 -12.942241 -4.403565
0.642421 0.357563 -12.942241 -4.403565
0.642421 0.357563 -12.942241 -4.403565
0.642421 0.357563 -12.942241 -4.403565
0.642421 0.357563 -12.942241 -4.403565
0.844535 0.155447 -12.743909 7.924810
0.844535 0.155447 -12.743909 7.924810
0.844535 0.155447 -12.743909 7.924810
0.844535 0.155447 -12.743909 7.924810
0.844535 0.155447 -12.743909 7.924810
0.844535 0.155447 -12.743909 7.924810
0.933886 0.066109 -11.362425 14.669470
0.933886 0.066109 -11.362425 14.669470
0.933886 0.066109 -11.362425 14.669470
0.933886 0.066109 -11.362425 14.669470
0.933886 0.066109 -11.362425 14.669470
0.933886 0.066109 -11.362425 14.669470
0.969568 0.030432 -11.229117 16.944487
0.969568 0.030432 -11.229117 16.944487
0.969568 0.030432 -11.229117 16.944487
0.969568 0.030432 -11.229117 16.944487
0.969568 0.030432 -11.229117 16.944487
0.969568 0.030432 -11.229117 16.944487
0.984779 0.015222 -11.638351 17.448216
0.984779 0.015222 -11.638351 17.448216
0.984779 0.015222 -11.638351 17.448216
0.984779 0.015222 -11.638351 17.448216
0.984779 0.015222 -11.638351 17.448216
