Nx=6, Ny=96, Nz=96
dx=0.408248, dy=0.204124, dz=0.204124
0.024572 0.975428 18.470515 -10.054621
0.024572 0.975428 18.470515 -10.054621
0.024572 0.975428 18.470515 -10.054621
0.024572 0.975428 18.470515 -10.054621
0.024572 0.975428 18.470515 -10.054621
0.024572 0.975428 18.470515 -10.054621
0.045838 0.954163 17.076487 -10.172122
0.045838 0.954163 17.076487 -10.172122
0.045838 0.954163 17.076487 -10.172122
0.045838 0.954163 17.076487 -10.172122
0.045838 0.954163 17.076487 -10.172122
0.045838 0.954163 17.076487 -10.172122
0.097305 0.902698 13.069640 -11.089539
0.097305 0.902698 13.069640 -11.089539
0.097305 0.902698 13.069640 -11.089539
0.097305 0.902698 13.069640 -11.089539
0.097305 0.902698 13.069640 -11.089539
0.097305 0.902698 13.069640 -11.089539
0.223736 0.776271 3.583681 -12.987239
0.223736 0.776271 3.583681 -12.987239
0.223736 0.776271 3.583681 -12.987239
0.223736 0.776271 3.583681 -12.987239
0.223736 0.776271 3.583681 -12.987239
0.223736 0.776271 3.583681 -12.987239
0.474054 0.525947 -9.059991 -10.610793
0.474054 0.525947 -9.059991 -10.610793
0.474054 0.525947 -9.059991 -10.610793
0.474054 0.525947 -9.059991 -10.610793
0.474054 0.525947 -9.059991 -10.610793
0.474054 0.525947 -9.059991 -10.610793
0.743968 0.256027 -13.541672 1.099728
0.743968 0.256027 -13.541672 1.099728
0.743968 0.256027 -13.541672 1.099728
0.743968 0.256027 -13.541672 1.099728
0.743968 0.256027 -13.541672 1.099728
0.743968 0.256027 -13.541672 1.099728
0.892477 0.107521 -12.028823 11.521052
0.892477 0.107521 -12.028823 11.521052
0.892477 0.107521 -12.028823 11.521052
0.892477 0.107521 -12.028823 11.521052
0.892477 0.107521 -12.028823 11.521052
0.892477 0.107521 -12.028823 11.521052
0.953104 0.046896 -11.207367 15.979301
0.953104 0.046896 -11.207367 15.979301
0.953104 0.046896 -11.207367 15.979301
0.953104 0.046896 -11.207367 15.979301
0.953104 0.046896 -11.207367 15.979301
0.953104 0.046896 -11.207367 15.979301
0.977673 0.022327 -11.389831 17.270697
0.977673 0.022327 -11.389831 17.270697
0.977673 0.022327 -11.389831 17.270697
0.977673 0.022327 -11.389831 17.270697
0.977673 0.022327 -11.389831 17.270697
0.977673 0.022327 -11.389831 17.270697
0.988539 0.011461 -11.876064 17.436308
0.988539 0.011461 -11.876064 17.436308
0.988539 0.011461 -11.876064 17.436308
0.988539 0.011461 -11.876064 17.436308
0.988539 0.011461 -11.876064 17.436308
0.988539 0.011461 -11.876064 17.436308
0.993745 0.006255 -12.405494 17.219197
0.993745 0.006255 -12.405494 17.219197
0.993745 0.006255 -12.405494 17.219197
0.993745 0.006255 -12.405494 17.219197
0.993745 0.006255 -12.405494 17.219197
0.993745 0.006255 -12.405494 17.219197
0.996286 0.003714 -12.876493 16.900680
0.996286 0.003714 -12.876493 16.900680
0.996286 0.003714 -12.876493 16.900680
0.996286 0.003714 -12.876493 16.900680
0.996286 0.003714 -12.876493 16.900680
0.996286 0.003714 -12.876493 16.900680
0.997402 0.002598 -13.229095 16.615006
0.997402 0.002598 -13.229095 16.615006
0.997402 0.002598 -13.229095 16.615006
0.997402 0.002598 -13.229095 16.615006
0.997402 0.002598 -13.229095 16.615006
0.997402 0.002598 -13.229095 16.615006
0.997637 0.002363 -13.423968 16.434260
0.997637 0.002363 -13.423968 16.434260
0.997637 0.002363 -13.423968 16.434260
0.997637 0.002363 -13.423968 16.434260
0.997637 0.002363 -13.423968 16.434260
0.997637 0.002363 -13.423968 16.434260
0.997199 0.002801 -13.461365 16.370604
0.997199 0.002801 -13.461365 16.370604
0.997199 0.002801 -13.461365 16.370604
0.997199 0.002801 -13.461365 16.370604
0.997199 0.002801 -13.461365 16.370604
0.997199 0.002801 -13.461365 16.370604
0.996046 0.003954 -13.360215 16.402551
0.996046 0.003954 -13.360215 16.402551
0.996046 0.003954 -13.360215 16.402551
0.996046 0.003954 -13.360215 16.402551
0.996046 0.003954 -13.360215 16.402551
0.996046 0.003954 -13.360215 16.402551
0.994044 0.005956 -13.161786 16.480897
0.994044 0.005956 -13.161786 16.480897
0.994044 0.005956 -13.161786 16.480897
0.994044 0.005956 -13.161786 16.480897
0.994044 0.005956 -13.161786 16.480897
0.994044 0.005956 -13.161786 16.480897
0.990965 0.009035 -12.891979 16.566026
0.990965 0.009035 -12.891979 16.566026
0.990965 0.009035 -12.891979 16.566026
0.990965 0.009035 -12.891979 16.566026
0.990965 0.009035 -12.891979 16.566026
0.990965 0.009035 -12.891979 16.566026
0.986452 0.013548 -12.596526 16.590698
0.986452 0.013548 -12.596526 16.590698
0.986452 0.013548 -12.596526 16.590698
0.986452 0.013548 -12.596526 16.590698
0.986452 0.013548 -12.596526 16.590698
0.986452 0.013548 -12.596526 16.590698
0.980056 0.019944 -12.326504 16.476987
0.980056 0.019944 -12.326504 16.476987
0.980056 0.019944 -12.326504 16.476987
0.980056 0.019944 -12.326504 16.476987
0.980056 0.019944 -12.326504 16.476987
0.980056 0.019944 -12.326504 16.476987
0.971369 0.028630 -12.126252 16.156030
0.971369 0.028630 -12.126252 16.156030
0.971369 0.028630 -12.126252 16.156030
0.971369 0.028630 -12.126252 16.156030
0.971369 0.028630 -12.126252 16.156030
0.971369 0.028630 -12.126252 16.156030
0.960088 0.039911 -12.012548 15.592750
0.960088 0.039911 -12.012548 15.592750
0.960088 0.039911 -12.012548 15.592750
0.960088 0.039911 -12.012548 15.592750
0.960088 0.039911 -12.012548 15.592750
0.960088 0.039911 -12.012548 15.592750
0.946245 0.053755 -12.003727 14.770716
0.946245 0.053755 -12.003727 14.770716
0.946245 0.053755 -12.003727 14.770716
0.946245 0.053755 -12.003727 14.770716
0.946245 0.053755 -12.003727 14.770716
0.946245 0.053755 -12.003727 14.770716
0.930549 0.069451 -12.094209 13.738028
0.930549 0.069451 -12.094209 13.738028
0.930549 0.069451 -12.094209 13.738028
0.930549 0.069451 -12.094209 13.738028
0.930549 0.069451 -12.094209 13.738028
0.930549 0.069451 -12.094209 13.738028
0.914599 0.085403 -12.251974 12.622529
0.914599 0.085403 -12.251974 12.622529
0.914599 0.085403 -12.251974 12.622529
0.914599 0.085403 -12.251974 12.622529
0.914599 0.085403 -12.251974 12.622529
0.914599 0.085403 -12.251974 12.622529
0.900640 0.099363 -12.414074 11.622023
0.900640 0.099363 -12.414074 11.622023
0.900640 0.099363 -12.414074 11.622023
0.900640 0.099363 -12.414074 11.622023
0.900640 0.099363 -12.414074 11.622023
0.900640 0.099363 -12.414074 11.622023
0.890993 0.109012 -12.528743 10.927510
0.890993 0.109012 -12.528743 10.927510
0.890993 0.109012 -12.528743 10.927510
0.890993 0.109012 -12.528743 10.927510
0.890993 0.109012 -12.528743 10.927510
0.890993 0.109012 -12.528743 10.927510
0.887343 0.112664 -12.559618 10.676653
0.887343 0.112664 -12.559618 10.676653
0.887343 0.112664 -12.559618 10.676653
0.887343 0.112664 -12.559618 10.676653
0.887343 0.112664 -12.559618 10.676653
0.887343 0.112664 -12.559618 10.676653
0.890251 0.109757 -12.500692 10.909231
0.890251 0.109757 -12.500692 10.909231
0.890251 0.109757 -12.500692 10.909231
0.890251 0.109757 -12.500692 10.909231
0.890251 0.109757 -12.500692 10.909231
0.890251 0.109757 -12.500692 10.909231
0.899006 0.101002 -12.358627 11.576181
